Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR33044473,2025-07-28 13:27:55,2025-04-09 09:38:51,34092,20504916,34092,601,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044473/SRR33044473.lite.1,SRX28310234,SECS-179-A_S350,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649347,SAMN47843987,simple,646099,human metagenome,SECS-179-A,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,B7B1F837DC5BC24D76D9450D3582D4AC,1BC814000A84DE2591782C0928933958
SRR33044462,2025-07-28 13:27:56,2025-04-09 09:36:03,14680,8832232,14680,601,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044462/SRR33044462.lite.1,SRX28310245,SECS-179-E_S338,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649358,SAMN47843988,simple,646099,human metagenome,SECS-179-E,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,9657DBE215CE62847FA83AE6A732A7CF,B69962D2E7C6BD4BF19B56DBE23599C5
SRR33044565,2025-07-28 13:27:56,2025-04-09 09:40:21,46062,27729324,46062,602,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044565/SRR33044565.lite.1,SRX28310227,SECS-183-H_S196,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649340,SAMN47844257,simple,646099,human metagenome,SECS-183-H,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,6B19954945DB0D7AA181E5936E149052,CCE91FB4D1F18DC6052655C003137D06
SRR33044500,2025-07-28 13:27:54,2025-04-09 09:39:37,23041,13864614,23041,601,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044500/SRR33044500.lite.1,SRX28310207,SECS-415-H_S220,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649320,SAMN47844005,simple,646099,human metagenome,SECS-415-H,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,DC7FA44552DF87CDF961D3C688F0791B,8AECFA6425F83B8614D378B39197EF63
SRR33044489,2025-07-28 13:27:55,2025-04-09 09:39:22,38814,23294004,38814,600,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044489/SRR33044489.lite.1,SRX28310218,SECS-415-P_S232,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649331,SAMN47844006,simple,646099,human metagenome,SECS-415-P,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,6CCF6633F3EE19437361EA1EFE05D5A5,5D3A802BA5F3D72FB813262140063BC6
SRR33044479,2025-07-28 13:27:54,2025-04-09 09:39:08,25848,15543665,25848,601,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044479/SRR33044479.lite.1,SRX28310228,SECS-436-A_S309,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649341,SAMN47844053,simple,646099,human metagenome,SECS-436-A,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,5E21A0DDA9AE587F7F9083E9A86A340D,9A071858D30EDE8D7A89CF57C74C4E9A
SRR33044478,2025-07-28 13:27:54,2025-04-09 09:39:01,23120,13909088,23120,601,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044478/SRR33044478.lite.1,SRX28310229,SECS-436-E_S297,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649342,SAMN47844054,simple,646099,human metagenome,SECS-436-E,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,A42949EE1A09E137408F14285E12CE01,0097FCCDB770FE76021CDF875C5D5B88
SRR33044477,2025-07-28 13:27:55,2025-04-09 09:39:02,25487,15332417,25487,601,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044477/SRR33044477.lite.1,SRX28310230,SECS-436-H_S212,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649344,SAMN47844055,simple,646099,human metagenome,SECS-436-H,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,8E7DF69B9383D07A23F0EF0E6F5992D4,8D9AE6557D2C4E95B81116150C080B49
SRR33044476,2025-07-28 13:27:55,2025-04-09 09:39:05,24538,14762392,24538,601,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044476/SRR33044476.lite.1,SRX28310231,SECS-436-P_S224,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649343,SAMN47844056,simple,646099,human metagenome,SECS-436-P,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,00C9F81599CBFB77302B4838ABF98EA3,356062EAF29DD619BE3AE67128D8C94B
SRR33044475,2025-07-28 13:27:55,2025-04-09 09:39:00,23799,14315525,23799,601,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR033/33044/SRR33044475/SRR33044475.lite.1,SRX28310232,SECS-437-A_S333,AMPLICON,RANDOM PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP577400,PRJNA1248021,,1248021,SRS24649346,SAMN47844057,simple,646099,human metagenome,SECS-437-A,,,,,,,no,,,,,GEORGE WASHINGTON UNIVERSITY,SRA2108886,,public,372D9B475507274D76537A2C88A0AB1B,92A8DA3787235731D670689757E2F5C9
